Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN,Pag-IBIG #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10022,Delos Santos,Kolby,02/26/1980,N/A,N/A,52-0109570-6,357451271274,187-500-345-000,113017988667,N/A,N/A,N/A,24000,0,0,0,0,143
10023,Santos,Vella,12/31/1983,N/A,N/A,52-9883524-3,548670482885,101-558-994-000,360028104576,N/A,N/A,N/A,22500,0,0,0,0,134
10024,Del Rosario,Tomas,12/18/1978,N/A,N/A,45-5866331-6,953901539995,560-735-732-000,913108649964,N/A,N/A,N/A,22500,0,0,0,0,134
10025,Tolentino,Jacklyn,05/19/1984,N/A,N/A,47-1692793-0,753800654114,841-177-857-000,210546661243,N/A,N/A,N/A,24000,0,0,0,0,143
10026,Gutierrez,Percival,12/18/1970,N/A,N/A,40-9504657-8,797639382265,502-995-671-000,210897095686,N/A,N/A,N/A,24750,0,0,0,0,147
10027,Manalaysay,Garfield,08/28/1986,N/A,N/A,45-3298166-4,810909286264,336-676-445-000,211274476563,N/A,N/A,N/A,24750,0,0,0,0,147
10028,Villegas,Lizeth,29932,N/A,N/A,40-2400719-4,934389652994,210-395-397-000,122238077997,N/A,N/A,N/A,24000,0,0,0,0,143
10029,Ramos,Carol,08/20/1978,N/A,N/A,60-1152206-4,351830469744,395-032-717-000,212141893454,N/A,N/A,N/A,22500,0,0,0,0,134
10030,Maceda,Emelia,04/14/1973,N/A,N/A,54-1331005-0,465087894112,215-973-013-000,515012579765,N/A,N/A,N/A,22500,0,0,0,0,134
10031,Aguilar,Delia,01/27/1989,N/A,N/A,52-1859253-1,136451303068,599-312-588-000,110018813465,N/A,N/A,N/A,22500,0,0,0,0,134
10032,Rafael Castro,John,33849,N/A,N/A,26-7145133-4,601644902402,404-768-309-000,697764069311,N/A,N/A,N/A,52670,0,0,0,0,314
10033,Ian Martinez,Carlos,11/16/1990,N/A,N/A,11-5062972-7,380685387212,256-436-296-000,993372963726,N/A,N/A,N/A,52670,0,0,0,0,314
10034,Santos,Beatriz,33062,N/A,N/A,20-2987501-5,918460050077,911-529-713-000,874042259378,N/A,N/A,N/A,52670,0,0,0,0,314
10035,Romano,Isidro,N/A,N/A,N/A,1234567890,1234567890,1234567890,1234567890,Regular,N/A,N/A,0,0,0,0,0,0
